group,video_id,publishedAt,author,text,likeCount
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:58:41Z,@bichinabichina4452,mid,0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:57:41Z,@кирусядеточкина,"THEY&#39;RE SOOO SWEET I REALLY LOVE IT, GUYS I&#39;M YOUR FAN❤❤❤",0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:57:40Z,@Mama_Aqila01,"Vibes nya prince bgt ga sih? Para prince yg lagi keluar kastil buat liburan, menurut gw gitu soalnya 😂😍 suka bgt, jarang kan ya skrg BG konsepnya kyk gini",0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:57:24Z,@leeknooooow,이 옵션을 선택하면 이 옵션을 선택할 수 있습니다♥️😍😅,1
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:57:08Z,@loove143_,"<a href=""https://www.youtube.com/watch?v=jizAb-SLvtM&amp;t=14"">0:14</a> &quot;representing KOZ&quot; I can&#39;t handle that, Jaehyun is way to cute omgg 😭",146
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:57:05Z,@rrraissy,these guys are crazy!!,2
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:55:49Z,@solhwa4334,americacore,0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:54:42Z,@miorionz,QUE BUEN GRUPO VOY A SEGUIRLOS,0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:54:01Z,@SVGARTiTZ,LETS GOOO,0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:53:13Z,@paigemc2107,I&#39;m into it!! This is a vibe!! 😆,1
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:51:34Z,@アールグレイドール,センスの塊すぎて震える(̨̡ ¨̮ )̧̢ 〜♡<br>ウナクくんのサビかわいいよぉ,2
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:51:32Z,@winter5185,I LOVE THIS NEW GROUP ALREADY,0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:50:38Z,@yyubtim8769,Ey,0
BOYNEXTDOOR,jizAb-SLvtM,2023-05-25T20:49:35Z,@ricver33,and stop mention newjeans,0
