group,video_id,publishedAt,author,text,likeCount
H1-KEY,imUUYMi2FXw,2022-01-05T14:54:55Z,@อ๋อ-ฟ9ด,มาเต้นแอโรบิคกันน เอ้าโยกซ้าย โยกขวา เอ้า กระโดนตบ วู้วว,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:54:54Z,@TikTok-jx1cc,ఌ︎,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:54:49Z,@hxrszlq3113,เห้ยย เพลงปังมากค่ะ ขนาดเพิ่งเดบิวต์นะเนี่ย ท่าเต้นร้องอะไรปังมาก เมมเบอร์ก็สวย สู้ต่อไปนะคะ วง&quot;kep1er&quot;,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:54:30Z,@Heha_channel,🤮🤮🤮,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:54:27Z,@nxdanntp24,🤮🤮🤮🤢🤢🤢🤢🤢 พ่อของเธอทำอนาคตคนไทยพัง Sitala father ruined the future of us Thai people. 그녀의 아버지는 태국 사람들의 미래를 망쳤습니다. Bapanya merosakkan masa depan rakyat Thai. دمر والدها مستقبل الشعب التايلاندي. #go out sitala🤮🤮🤢🤢🤢🤮🤮🤮,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:54:13Z,@KokohKantapat,เราจะรักพวกเธอตลอดไป Blackpink,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:53:52Z,@pamikabuako4574,คือเราว่านะถ้าไม่ชอบคือก็ไม่ต่องกูไม่จำเป็นต้องมาคอมเม้นเราไม่ได้ก็เเค่เฉยๆกับนางนะแต่เราไม่รู้จะด่าทอไปเพื่ออะไรเพราะมันก็ไม่ได้ทำให้เรื่องในอดีตดีขึ้นได้เรารู้นะว่าพ่อกับนางทำไรไว้บ้าง,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:53:49Z,@พี่เจ้นท์,ใครจะด่าอย่าไปสนนะคะเราเป็นกำลังใจให้นะคะเป็นคนไทยด้วยกันต้องให้กำลังใจกันอยู่แล้วค่ะ เตนล์ และ ลูคัส nct,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:53:49Z,@hunah444,I’m so addicted to this song! Love 💗💗💗,7
H1-KEY,imUUYMi2FXw,2022-01-05T14:53:26Z,@gowentandgone,สงสารเมมเบอร์อื่นจัง เอาตรงๆมั้ย เพลงมันก็ดีนะ แต่ไม่เอาอะ กุไม่ซัพพอร์ต,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:53:20Z,@nuti6714,ปังมากอะblackpink🖤💗,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:53:20Z,@polathepmahattanakul5883,Cool 😎,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:53:03Z,@ptsentertainment9427,คอนเซ็ป แอโรบิคหรอ55 ถวายพระพรหรอ 55,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:52:57Z,@MIGUEL-ep1wn,ทำความฝันคนอื่นพังเเต่ตัวเองกลับ?,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:52:50Z,@immumma1072,โหววสามการรอคอยมากก เพลงปังมาก สุดยอดเลย เห็นพัฒนาการเพิ่มขึ้นมากเลยอ่ะ สนับสนุนค่ะ kep1er,7
H1-KEY,imUUYMi2FXw,2022-01-05T14:52:42Z,@DJ_Monsterhouse,SITALA IS DICTATOR ARTIST. ❌❌❌,3
H1-KEY,imUUYMi2FXw,2022-01-05T14:52:34Z,@あーあー-v4x,売れそう！,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:52:32Z,@melyfranco_,"Qué hermosaaaasss, la canción está ufff y el MV está genial, las amo mil &lt;3",25
H1-KEY,imUUYMi2FXw,2022-01-05T14:52:20Z,@qi4oyxn587,วงนี้สอนเต้นแอโรบิคเหรอคะ,4
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:58Z,@TikTok-jx1cc,WOW,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:57Z,@Allisonwunderlandd,This is definitely an earworm! I&#39;ve listened to it so many times already! 💟💟💟💟,71
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:48Z,@TikTok-jx1cc,I LOVE IT,5
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:42Z,@tonokailand,พ่อกลับมาดูความสำเร็จหน่อย,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:40Z,@Itim027,เต้นทีหน้าอย่างกับจะขาดใจตาย หมายถึงH1 Keyนี่แหละ ไม่ได้หมายถึงวงอื่น,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:38Z,@TikTok-jx1cc,THIS SO GOOD,25
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:35Z,@mooham5895,บูดดดดดมาก,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:27Z,@hunah444,They are rookie monster their performance is on top! The concept is so powerful and energetic!,12
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:23Z,@aranyabunla1944,คอนเซปเหลืองเอาใจด้อมเหลืองปะคะ5555,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:22Z,@TikTok-jx1cc,OK,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:08Z,@nnnnnnnnn4050,เมมเบอร์ คนไทยเก่งมาก และหล่อเว่อร์ ปริ๊นซ์ghost9 เด็กไทยที่หลายๆคนยังไม่รู้จัก มาซัพพอร์ตน้องกันเถอะ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:51:00Z,@ppdeedee9747,The song is really good 😊😊😊,9
H1-KEY,imUUYMi2FXw,2022-01-05T14:50:42Z,@openmindmind,แรกๆก็เฉยๆไม่คิดว่าจะดีขนาดนี้เพลงดีร้องดีเต้นดีทุกคนเลย ชอบท่อนแร็พ sitala rap!!!,11
H1-KEY,imUUYMi2FXw,2022-01-05T14:50:14Z,@iamygstan876,ชอบอ่ะเนื้อเพลงดีท่อนฮุคดีจะซัพพอร์ดวง black pink และBTS Foreverนะคะ,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:50:08Z,@nxdanntp24,#go out Sitala🤮🤮🤮🤢🤢🤢,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:50:03Z,@askapku1884,Indonesia supports you&#39;re,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:50:02Z,@kiki-uc4rb,ไปอยู่ในประเทศที่มีหนังซีรีย์ที่เป็นประชาธิปไตยเเต่ครอบครัวตัวเองกลับเป็นพวกนกหวีดหนุขำอ่ะ พี่ลูกหนัง,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:50:00Z,@adisornmaothong4352,วงเกิร์ลกรุป ในดวงใจของผม. ......blackpink,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:49:45Z,@firerose75,Wow! Love this song. Would love to dance now😄😄😄,33
H1-KEY,imUUYMi2FXw,2022-01-05T14:49:41Z,@GuKonThai,ที่1ในใจเลยครับblackpink ทั้งร้องทั้งแร็ปทั้งเต้น เก่งสุดๆ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:49:32Z,@best8432,I do not support dictatorship,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:49:31Z,@poppapjk123,"Hello FC in Korea, I hope you will always support H1-Key and screen fake news from Thai anti-FC.",1
H1-KEY,imUUYMi2FXw,2022-01-05T14:49:24Z,@mycxrpxrknw1319,กูละอย่างชอบเม้นคนไทย55555555555555555⅝5555,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:49:10Z,@qi4oyxn587,เลิศมากค่ะ ลายเต้นดีมาก เสียงดี ดนตรีดี คอสตูมดี เลิศสุดเลิศทั้งวงปังมากกก จะคอยซัพพอร์ตตลอดไปเลยนะคะblackpink,5
H1-KEY,imUUYMi2FXw,2022-01-05T14:48:51Z,@kavinnnn.,ชอบมากๆอ่ะ เต็มสิบให้ล้าน แร็ปดีมาก โวคอลก็เสียงดีสุดๆ แถมล็อคท่ากันเป๊ะมากด้วย จะคอยซัพพอร์ตตลอดไปนะคะ หมายถึง BTS💜💜,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:48:29Z,@ThawatchaiNew,ดีใจมาก รอคอยมานาน กลับมารวมวงกันแล้ว GOT7,3
H1-KEY,imUUYMi2FXw,2022-01-05T14:48:18Z,@tainess,ชอบมาก เต้นดี แร็พเก่ง always support นะ #into1,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:48:15Z,@oliveroverth,"we dont need to actually bring them down, the song and the dance lines are already draged them down.",16
H1-KEY,imUUYMi2FXw,2022-01-05T14:48:14Z,@purkyplory,that starting position! omg,10
H1-KEY,imUUYMi2FXw,2022-01-05T14:47:57Z,@whale8517,ชียังมีหน้ามาเดบิวต์ได้ จริงๆเลยอ่ะ55555555,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:47:44Z,@pervis4767,พ่อมึงดับฝันคนอื่นขนาดนั้นกล้าดียังไงไปทำตามความฝันตัวเองอ่ะ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:47:32Z,@ThanaphatRatthonglang,ชอบtwice,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:47:17Z,@kiki-uc4rb,ลูกหนังไปเดบิวเฉิดฉายในเกาหลีในขณะที่ไทยกำลังเครียดว่าพรุ่งนี้จะมีไรกินบ้างทำไรไว้ควรได้สิ่งนั้นตอบเเทนนะคะ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:47:16Z,@banana-ej2dw,ชอบอ่ะ เอ็มวีคือดีมากกก สวยทุกคนเลย รักนะคะ red velvet,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:47:09Z,@เป็นควยไรถึงสาระแนในที่ของพวก,เก่งมากเลยอ่ะ คือไม่เข้าใจว่าคนๆนึงต้องเก่งขนาดนี้เลยอ๋อ ฮือออ เต้นเก่งมากๆเลย ร้องก็เพราะ น่าภูมิใจมากๆเป็นคนไทยหนึ่งเดียวในวงอีกด้วยรักนะคะและจะสนับสนุนตลอดไป เลิฟๆงับ พี่เตนล์ ชิตพล NCT ❤️🥺,8
H1-KEY,imUUYMi2FXw,2022-01-05T14:46:49Z,@teerayutbunsutee9461,อีสลิ่ม,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:46:42Z,@moomi3911,อิสนันสนุนเผด็จการ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:46:31Z,@ชาร์จเเบต,Ilovecatandyoumie,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:46:01Z,@aranyabunla1944,ดิสไลค์เลยค่ะ🤣,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:45:58Z,@user-zm8lf3yt5b,1:42 ตามลอยเท้าพ่อสุดอะไอดอลเลอ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:45:40Z,@Myyeonny,|||,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:45:35Z,@frloisy,เอ็มวีดีมาก นึกว่าจะไม่มาซะแล้ว เก่งมากเลย black pink💗🖤,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:45:10Z,@mmmag2710,"Que buena producción, desde el mv hasta la canción en sí, me sorprendió demasiado ✨",8
H1-KEY,imUUYMi2FXw,2022-01-05T14:45:08Z,@immine49,โอ้ยยยยเริสมากดีทุกอย่างเลยวงนี้เสื้อผ้าหน้าผมปังไม่ไหวความวิชวลนี่ยกให้วงนี้เลยค่ะiveไปฟังไปเป็นเมนกันได้เลยนะคะน่ารักทุกคนเพลงดีเริสสับปังทุกคนค่า,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:45:00Z,@wulandharinaibaho8498,keren bgt,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:44:51Z,@alenamalysh21,Где русские комментарии,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:44:35Z,@cat-gy6ge,เอาจริงๆก็อยากเป็นแอนตี้ แต่ไม่ดีกว่าเพราะว่าสงสารเมมเบอร์ในวงทั้งสามนอกจากลูกหนัง เมมเบอร์ในวงเขาคงไม่รึเรื่องอะไร,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:44:27Z,@nittip7842,Any song is not fun at all. The choreography is like aerobic rap. It&#39;s not good. Fighting with other bands. Not fooling around. How many years have you practiced? It&#39;s just that. Dancing is not good. Singing is normal. The face is not very beautiful. Can this just debut?,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:44:22Z,@ssss7763,น่ารักมากครับ เต้นก็เก่ง loona,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:43:57Z,@reinventionofnature7430,Por que tá todo mundo comentando nome do grupo ao lado? É trolls pro grupo? (em tailandês),0
H1-KEY,imUUYMi2FXw,2022-01-05T14:43:56Z,@panudejgallery2039,💛💛💛,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:43:44Z,@atcharaluthi2663,Good job,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:43:42Z,@natthakitbutchun5766,ขอให้ทนกระแสดราม่าให้ไหวนะ อิๆๆๆๆ สู้ๆ รีบกลับมาคัมแบคที่ไทยด้วย,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:43:17Z,@onb.6643,Support Sitala!!! คนที่ไม่ชอบเค้าแต่ตามมาส่องเค้าตั้งแต่วันแรกเลย คอมเม้นก็ไร้มารยาท นิสัยแบบขี้อิจฉาอ่ะ555 ไม่ชอบก็ไม่ต้องเข้ามาดูค่ะ น้องลูกหนังไม่ต้องไปสนใจหมาเห่าเครื่องบินนะคะ บินหนีไปให้ไกลๆค่ะ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:43:02Z,@suraphonchai4868,#Sitala very good 👍🇹🇭,2
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:57Z,@TI_jaii,รักวงนี้ชอบมากๆ 10-10ไปเลย รักและห่วงใยblackpink💗💖,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:57Z,@kraweetreeamnuk2549,ชอบมากกกก,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:55Z,@ภาคิณขันตี,สุดยอดดดดด เต้นเป๊ะเวอร์ น้าโย่งน้าพวงน้านง ว่างจะเข้ามาอ่านคอมเม้นนะคับ,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:52Z,@บราบรา-ฤ8ฃ,นี่เต้นแอโรบิคหรอเนี่ย!,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:43Z,@dewyskiratikit,หนึ่งในกำลังใจจากประเทศไทยนะครับ น้องเก่งและเหมาะสม สู้ต่อนะ #sitala,10
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:41Z,@songforparksoo-young1266,เท่สุดๆรักนะ วง &quot;itzy&quot;,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:40Z,@phawitasangsasithon4710,SITALA ❤️❤️❤️ H1-KEY ❤️❤️❤️ ALWAYS SUPPORT YOU,12
H1-KEY,imUUYMi2FXw,2022-01-05T14:42:11Z,@uiui1580,ชอบทั้ง3คนมากกก,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:41:58Z,@eri_eri6549,เสียงลูกหนังเหมือนคนหายใจไม่ทัน พยายามต่อไปนะคะ ยังไงก็ไม่มีทางดังหรอกค่ะ 🙄🙄,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:41:57Z,@taoqtie,เองช่ลูกผัดเผ็ดกัรไม ?,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:41:41Z,@ppjj4658,เพราะมาก เป็นกำลังใจให้ วงนี้ปังมากค่ะ,18
H1-KEY,imUUYMi2FXw,2022-01-05T14:41:29Z,@ぱかぱか-m1t,めっちゃ好き。カバーダンスしたくなる,3
H1-KEY,imUUYMi2FXw,2022-01-05T14:41:21Z,@cat-gy6ge,ดีมากกก,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:41:03Z,@Amthika06,สนุกมากเลย เพลงเพราะมาก ท่าเต้นน่ารักมากเลย เพลงQueendom red velvet พี่แบเต้นน่ารักมาก #redvelvet,0
H1-KEY,imUUYMi2FXw,2022-01-05T14:41:02Z,@bankkzerits9279,dislike8k+,1
H1-KEY,imUUYMi2FXw,2022-01-05T14:40:45Z,@reaperlongsword6269,"Never forgive, Never forget .We always remember what you have done.",6
