group,video_id,publishedAt,author,text,likeCount
NMIXX,3GWscde8rM8,2022-02-22T14:59:03Z,@danklank5,No,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:02Z,@suIIyo0n,Keep streaming blenders,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:02Z,@mariifernandezz,HQHAHQHHQHQUAGI,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:01Z,@wouldyoulikesometea,Sullyoon&#39;s visual 😳,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:01Z,@9ives65,Others keep on compairing nmixx to other groups.. while jype doesn&#39;t care... Jype loves tricks u know😛🌺💗,2
NMIXX,3GWscde8rM8,2022-02-22T14:59:01Z,@Lyssssssssss,La canción está media rara pero ellas tienen tanto talento que vale la pena apoyarlas,0
NMIXX,3GWscde8rM8,2022-02-22T14:59:00Z,@priyankanayak6660,Good song but not better like itzy and twice,1
NMIXX,3GWscde8rM8,2022-02-22T14:59:00Z,@aquilia7957,So replayed this 2 times it actually fits which surprised me since the first listen i was really confusef,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:58Z,@abcdamnshittt,LOPYU KALIAN SEMUA🤍🤍,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:56Z,@simpja7064,"SQU4D ,you need to unleash our savior TANK! We know you got the performance vid ,we need it now badly! Save Nmixx!",0
NMIXX,3GWscde8rM8,2022-02-22T14:58:55Z,@megan4736,kinda confusing but its nice!!,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:50Z,@tala6181,NMIXX just debuted today and they already had a lot of haters😭 leave these girls alone. They have their own genre! And stop comparing them in other groups. NMIXX IS NMIXX!!!!!,1
NMIXX,3GWscde8rM8,2022-02-22T14:58:50Z,@_j-hope_4381,OMG I LOVE THIS SONG wow i don&#39;t think that something can be that cool okay this is my favorite song ❤❤,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:46Z,@morolisz,"estuvo facha, me gusto",0
NMIXX,3GWscde8rM8,2022-02-22T14:58:46Z,@dongenoob6078,제왑삐에서 광야 냄새가 난다.,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:46Z,@alvinaeth9393,"The mv is absolutely gorgeous I love it, very JYP vibes 😂 the cinematic colours as well, but the song on the other hand hmmmm",0
NMIXX,3GWscde8rM8,2022-02-22T14:58:45Z,@abcdamnshittt,BABEH JYP KECE BANGET AAA🤍💘,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:44Z,@jeyeuekdjfjd,wth is this now 💀,1
NMIXX,3GWscde8rM8,2022-02-22T14:58:42Z,@petalzpat,this sounds like an album medley...😬,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:42Z,@jihyolover826,Love that they mixed two songs to be nmixx’s debut,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:41Z,@Teumearmybebe,So much beats,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:35Z,@feniavitadewi1681,Wahh kereenn banget. Baru nih ada lagu debut GG yg keren begini,2
NMIXX,3GWscde8rM8,2022-02-22T14:58:34Z,@boorave,Although this song may not be that bad I think Tank would&#39;ve made a great debut song (I find it catchier than O.O) stan NMIXX,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:33Z,@reijavmanga,"Gorgeous girls, good vocals, but...trying to copy Itzy, G-Idle and Loona is so confusing 🤨🤨🤨🤨",0
NMIXX,3GWscde8rM8,2022-02-22T14:58:32Z,@yarin7292,"They should just stick to the girl crush concept, the second part sounded weird. I enjoyed more the first and last part.",5
NMIXX,3GWscde8rM8,2022-02-22T14:58:32Z,@nozomiyumehara1608,"Es demasiado confusa, pero me encanta.",0
NMIXX,3GWscde8rM8,2022-02-22T14:58:31Z,@abcdamnshittt,divisi 4 pecah abiezz,0
NMIXX,3GWscde8rM8,2022-02-22T14:58:29Z,@jshen0911,mv looks like ateez...,5
NMIXX,3GWscde8rM8,2022-02-22T14:58:27Z,@junpi8562,"Without the mv, this sounds like an album highlights compilation",1
